"","Pclass","Sex","Age","SibSp","Parch","Fare","Cabin","Embarked","Title","PassengerId","Survived"
"892","3","male",34.5,"0","0",7.8292,"U","Q","Mr","892",0
"893","3","female",47,"1","0",7,"U","S","Mrs","893",0
"894","2","male",62,"0","0",9.6875,"U","Q","Mr","894",1
"895","3","male",27,"0","0",8.6625,"U","S","Mr","895",1
"896","3","female",22,"1","1",12.2875,"U","S","Mrs","896",1
"897","3","male",14,"0","0",9.225,"U","S","Mr","897",0
"898","3","female",30,"0","0",7.6292,"U","Q","Miss","898",0
"899","2","male",26,"1","1",29,"U","S","Mr","899",0
"900","3","female",18,"0","0",7.2292,"U","C","Mrs","900",1
"901","3","male",21,"2","0",24.15,"U","S","Mr","901",0
"902","3","male",27.9267852258606,"0","0",7.8958,"U","S","Mr","902",0
"903","1","male",46,"0","0",26,"U","S","Mr","903",0
"904","1","female",23,"1","0",82.2667,"3","S","Mrs","904",1
"905","2","male",63,"1","0",26,"U","S","Mr","905",0
"906","1","female",47,"1","0",61.175,"6","S","Mrs","906",1
"907","2","female",24,"1","0",27.7208,"U","C","Mrs","907",1
"908","2","male",35,"0","0",12.35,"U","Q","Mr","908",0
"909","3","male",21,"0","0",7.225,"U","C","Mr","909",1
"910","3","female",27,"1","0",7.925,"U","S","Miss","910",1
"911","3","female",45,"0","0",7.225,"U","C","Mrs","911",1
"912","1","male",55,"1","0",59.4,"U","C","Mr","912",0
"913","3","male",9,"0","1",3.1708,"U","S","Master","913",1
"914","1","female",45.3385496605542,"0","0",31.6833,"U","S","Mrs","914",1
"915","1","male",21,"0","1",61.3792,"U","C","Mr","915",0
"916","1","female",48,"1","3",262.375,"3","C","Mrs","916",1
"917","3","male",50,"1","0",14.5,"U","S","Mr","917",0
"918","1","female",22,"0","1",61.9792,"3","C","Miss","918",1
"919","3","male",22.5,"0","0",7.225,"U","C","Mr","919",0
"920","1","male",41,"0","0",30.5,"2","S","Mr","920",1
"921","3","male",23.1547686649418,"2","0",21.6792,"U","C","Mr","921",0
"922","2","male",50,"1","0",26,"U","S","Mr","922",0
"923","2","male",24,"2","0",31.5,"U","S","Mr","923",0
"924","3","female",33,"1","2",20.575,"U","S","Mrs","924",1
"925","3","female",32.5606886579124,"1","2",23.45,"U","S","Mrs","925",0
"926","1","male",30,"1","0",57.75,"4","C","Mr","926",0
"927","3","male",18.5,"0","0",7.2292,"U","C","Mr","927",1
"928","3","female",23.2832072341555,"0","0",8.05,"U","S","Miss","928",0
"929","3","female",21,"0","0",8.6625,"U","S","Miss","929",0
"930","3","male",25,"0","0",9.5,"U","S","Mr","930",0
"931","3","male",28.8469218453948,"0","0",56.4958,"U","S","Mr","931",1
"932","3","male",39,"0","1",13.4167,"U","C","Mr","932",0
"933","1","male",41.1707766405079,"0","0",26.55,"5","S","Mr","933",1
"934","3","male",41,"0","0",7.85,"U","S","Mr","934",0
"935","2","female",30,"0","0",13,"U","S","Mrs","935",1
"936","1","female",45,"1","0",52.5542,"5","S","Mrs","936",1
"937","3","male",25,"0","0",7.925,"U","S","Mr","937",0
"938","1","male",45,"0","0",29.7,"2","C","Mr","938",0
"939","3","male",35.3159549407244,"0","0",7.75,"U","Q","Mr","939",0
"940","1","female",60,"0","0",76.2917,"5","C","Mrs","940",1
"941","3","female",36,"0","2",15.9,"U","S","Mrs","941",1
"942","1","male",24,"1","0",60,"4","S","Mr","942",0
"943","2","male",27,"0","0",15.0333,"U","C","Mr","943",0
"944","2","female",20,"2","1",23,"U","S","Miss","944",1
"945","1","female",28,"3","2",263,"4","S","Miss","945",1
"946","2","male",31.7199165471033,"0","0",15.5792,"U","C","Mr","946",0
"947","3","male",10,"4","1",29.125,"U","Q","Master","947",0
"948","3","male",35,"0","0",7.8958,"U","S","Mr","948",0
"949","3","male",25,"0","0",7.65,"7","S","Mr","949",0
"950","3","male",28.5079233912906,"1","0",16.1,"U","S","Mr","950",0
"951","1","female",36,"0","0",262.375,"3","C","Miss","951",1
"952","3","male",17,"0","0",7.8958,"U","S","Mr","952",0
"953","2","male",32,"0","0",13.5,"U","S","Mr","953",1
"954","3","male",18,"0","0",7.75,"U","S","Mr","954",0
"955","3","female",22,"0","0",7.725,"U","Q","Miss","955",1
"956","1","male",13,"2","2",262.375,"3","C","Master","956",1
"957","2","female",31.692672604937,"0","0",21,"U","S","Mrs","957",1
"958","3","female",18,"0","0",7.8792,"U","Q","Miss","958",1
"959","1","male",47,"0","0",42.4,"U","S","Mr","959",0
"960","1","male",31,"0","0",28.5375,"4","C","Mr","960",1
"961","1","female",60,"1","4",263,"4","S","Mrs","961",1
"962","3","female",24,"0","0",7.75,"U","Q","Miss","962",1
"963","3","male",21,"0","0",7.8958,"U","S","Mr","963",0
"964","3","female",29,"0","0",7.925,"U","S","Miss","964",0
"965","1","male",28.5,"0","0",27.7208,"5","C","Mr","965",0
"966","1","female",35,"0","0",211.5,"4","C","Miss","966",1
