"","Pclass","Sex","Age","SibSp","Parch","Fare","Cabin","Embarked","Title","PassengerId","Survived"
"1","3","male",22,"1","0",7.25,"U","S","Mr","1","0"
"2","1","female",38,"1","0",71.2833,"4","C","Mrs","2","1"
"3","3","female",26,"0","0",7.925,"U","S","Miss","3","1"
"4","1","female",35,"1","0",53.1,"4","S","Mrs","4","1"
"5","3","male",35,"0","0",8.05,"U","S","Mr","5","0"
"6","3","male",32.4094957931473,"0","0",8.4583,"U","Q","Mr","6","0"
"7","1","male",54,"0","0",51.8625,"6","S","Mr","7","0"
"8","3","male",2,"3","1",21.075,"U","S","Master","8","0"
"9","3","female",27,"0","2",11.1333,"U","S","Mrs","9","1"
"10","2","female",14,"1","0",30.0708,"U","C","Mrs","10","1"
"11","3","female",4,"1","1",16.7,"8","S","Miss","11","1"
"12","1","female",58,"0","0",26.55,"4","S","Miss","12","1"
"13","3","male",20,"0","0",8.05,"U","S","Mr","13","0"
"14","3","male",39,"1","5",31.275,"U","S","Mr","14","0"
"15","3","female",14,"0","0",7.8542,"U","S","Miss","15","0"
"16","2","female",55,"0","0",16,"U","S","Mrs","16","1"
"17","3","male",2,"4","1",29.125,"U","Q","Master","17","0"
"18","2","male",32.3911600275667,"0","0",13,"U","S","Mr","18","1"
"19","3","female",31,"1","0",18,"U","S","Mrs","19","0"
"20","3","female",35.6642122712992,"0","0",7.225,"U","C","Mrs","20","1"
"21","2","male",35,"0","0",26,"U","S","Mr","21","0"
"22","2","male",34,"0","0",13,"5","S","Mr","22","1"
"23","3","female",15,"0","0",8.0292,"U","Q","Miss","23","1"
"24","1","male",28,"0","0",35.5,"2","S","Mr","24","1"
"25","3","female",8,"3","1",21.075,"U","S","Miss","25","0"
"26","3","female",38,"1","5",31.3875,"U","S","Mrs","26","1"
"27","3","male",27.3471258507899,"0","0",7.225,"U","C","Mr","27","0"
"28","1","male",19,"3","2",263,"4","S","Mr","28","0"
"29","3","female",23.0657534960542,"0","0",7.8792,"U","Q","Miss","29","1"
"30","3","male",27.9267852258606,"0","0",7.8958,"U","S","Mr","30","0"
"31","1","male",40,"0","0",27.7208,"U","C","Don","31","0"
"32","1","female",30.8278337912088,"1","0",146.5208,"3","C","Mrs","32","1"
"33","3","female",24.4556390104608,"0","0",7.75,"U","Q","Miss","33","1"
"34","2","male",66,"0","0",10.5,"U","S","Mr","34","0"
"35","1","male",28,"1","0",82.1708,"U","C","Mr","35","0"
"36","1","male",42,"1","0",52,"U","S","Mr","36","0"
"37","3","male",26.5938563643443,"0","0",7.2292,"U","C","Mr","37","1"
"38","3","male",21,"0","0",8.05,"U","S","Mr","38","0"
"39","3","female",18,"2","0",18,"U","S","Miss","39","0"
"40","3","female",14,"1","0",11.2417,"U","C","Miss","40","1"
"41","3","female",40,"1","0",9.475,"U","S","Mrs","41","0"
"42","2","female",27,"1","0",21,"U","S","Mrs","42","0"
"43","3","male",29.1258427717469,"0","0",7.8958,"U","C","Mr","43","0"
"44","2","female",3,"1","2",41.5792,"U","C","Miss","44","1"
"45","3","female",19,"0","0",7.8792,"U","Q","Miss","45","1"
"46","3","male",28.4572031846922,"0","0",8.05,"U","S","Mr","46","0"
"47","3","male",34.9747024514066,"1","0",15.5,"U","Q","Mr","47","0"
"48","3","female",24.4556390104608,"0","0",7.75,"U","Q","Miss","48","1"
"49","3","male",23.1547686649418,"2","0",21.6792,"U","C","Mr","49","0"
"50","3","female",18,"1","0",17.8,"U","S","Mrs","50","0"
"51","3","male",7,"4","1",39.6875,"U","S","Master","51","0"
"52","3","male",21,"0","0",7.8,"U","S","Mr","52","0"
"53","1","female",49,"1","0",76.7292,"5","C","Mrs","53","1"
"54","2","female",29,"1","0",26,"U","S","Mrs","54","1"
"55","1","male",65,"0","1",61.9792,"3","C","Mr","55","0"
"56","1","male",46.6306668626563,"0","0",35.5,"4","S","Mr","56","1"
"57","2","female",21,"0","0",10.5,"U","S","Miss","57","1"
"58","3","male",28.5,"0","0",7.2292,"U","C","Mr","58","0"
"59","2","female",5,"1","2",27.75,"U","S","Miss","59","1"
"60","3","male",11,"5","2",46.9,"U","S","Master","60","0"
"61","3","male",22,"0","0",7.2292,"U","C","Mr","61","0"
"62","1","female",38,"0","0",80,"3","","Miss","62","1"
"63","1","male",45,"1","0",83.475,"4","S","Mr","63","0"
"64","3","male",4,"3","2",27.9,"U","S","Master","64","0"
"65","1","male",39.4265937570489,"0","0",27.7208,"U","C","Mr","65","0"
"66","3","male",6.3240287973138,"1","1",15.2458,"U","C","Master","66","1"
"67","2","female",29,"0","0",10.5,"7","S","Mrs","67","1"
"68","3","male",19,"0","0",8.1583,"U","S","Mr","68","0"
"69","3","female",17,"4","2",7.925,"U","S","Miss","69","1"
"70","3","male",26,"2","0",8.6625,"U","S","Mr","70","0"
"71","2","male",32,"0","0",10.5,"U","S","Mr","71","0"
"72","3","female",16,"5","2",46.9,"U","S","Miss","72","0"
"73","2","male",21,"0","0",73.5,"U","S","Mr","73","0"
"74","3","male",26,"1","0",14.4542,"U","C","Mr","74","0"
"75","3","male",32,"0","0",56.4958,"U","S","Mr","75","1"
"76","3","male",25,"0","0",7.65,"7","S","Mr","76","0"
"77","3","male",27.9267852258606,"0","0",7.8958,"U","S","Mr","77","0"
"78","3","male",28.4572031846922,"0","0",8.05,"U","S","Mr","78","0"
"79","2","male",0.83,"0","2",29,"U","S","Master","79","1"
"80","3","female",30,"0","0",12.475,"U","S","Miss","80","1"
"81","3","male",22,"0","0",9,"U","S","Mr","81","0"
"82","3","male",29,"0","0",9.5,"U","S","Mr","82","1"
"83","3","female",23.4593356860377,"0","0",7.7875,"U","Q","Miss","83","1"
"84","1","male",28,"0","0",47.1,"U","S","Mr","84","0"
"85","2","female",17,"0","0",10.5,"U","S","Miss","85","1"
"86","3","female",33,"3","0",15.85,"U","S","Mrs","86","1"
"87","3","male",16,"1","3",34.375,"U","S","Mr","87","0"
"88","3","male",28.4572031846922,"0","0",8.05,"U","S","Mr","88","0"
"89","1","female",23,"3","2",263,"4","S","Miss","89","1"
"90","3","male",24,"0","0",8.05,"U","S","Mr","90","0"
"91","3","male",29,"0","0",8.05,"U","S","Mr","91","0"
"92","3","male",20,"0","0",7.8542,"U","S","Mr","92","0"
"93","1","male",46,"1","0",61.175,"6","S","Mr","93","0"
"94","3","male",26,"1","2",20.575,"U","S","Mr","94","0"
"95","3","male",59,"0","0",7.25,"U","S","Mr","95","0"
"96","3","male",28.4572031846922,"0","0",8.05,"U","S","Mr","96","0"
"97","1","male",71,"0","0",34.6542,"2","C","Mr","97","0"
"98","1","male",23,"0","1",63.3583,"5","C","Mr","98","1"
"99","2","female",34,"0","1",23,"U","S","Mrs","99","1"
"100","2","male",34,"1","0",26,"U","S","Mr","100","0"
"101","3","female",28,"0","0",7.8958,"U","S","Miss","101","0"
"102","3","male",27.9267852258606,"0","0",7.8958,"U","S","Mr","102","0"
"103","1","male",21,"0","1",77.2875,"5","S","Mr","103","0"
"104","3","male",33,"0","0",8.6542,"U","S","Mr","104","0"
"105","3","male",37,"2","0",7.925,"U","S","Mr","105","0"
"106","3","male",28,"0","0",7.8958,"U","S","Mr","106","0"
"107","3","female",21,"0","0",7.65,"U","S","Miss","107","1"
"108","3","male",27.5571276855916,"0","0",7.775,"U","S","Mr","108","1"
"109","3","male",38,"0","0",7.8958,"U","S","Mr","109","0"
"110","3","female",19.5075414148984,"1","0",24.15,"U","Q","Miss","110","1"
"111","1","male",47,"0","0",52,"4","S","Mr","111","0"
"112","3","female",14.5,"1","0",14.4542,"U","C","Miss","112","0"
"113","3","male",22,"0","0",8.05,"U","S","Mr","113","0"
"114","3","female",20,"1","0",9.825,"U","S","Miss","114","0"
"115","3","female",17,"0","0",14.4583,"U","C","Miss","115","0"
"116","3","male",21,"0","0",7.925,"U","S","Mr","116","0"
"117","3","male",70.5,"0","0",7.75,"U","Q","Mr","117","0"
"118","2","male",29,"1","0",21,"U","S","Mr","118","0"
"119","1","male",24,"0","1",247.5208,"3","C","Mr","119","0"
"120","3","female",2,"4","2",31.275,"U","S","Miss","120","0"
"121","2","male",21,"2","0",73.5,"U","S","Mr","121","0"
"122","3","male",28.4572031846922,"0","0",8.05,"U","S","Mr","122","0"
"123","2","male",32.5,"1","0",30.0708,"U","C","Mr","123","0"
"124","2","female",32.5,"0","0",13,"6","S","Miss","124","1"
"125","1","male",54,"0","1",77.2875,"5","S","Mr","125","0"
"126","3","male",12,"1","0",11.2417,"U","C","Master","126","1"
"127","3","male",35.3159549407244,"0","0",7.75,"U","Q","Mr","127","0"
"128","3","male",24,"0","0",7.1417,"U","S","Mr","128","1"
"129","3","female",4.84348348290598,"1","1",22.3583,"7","C","Miss","129","1"
"130","3","male",45,"0","0",6.975,"U","S","Mr","130","0"
"131","3","male",33,"0","0",7.8958,"U","C","Mr","131","0"
"132","3","male",20,"0","0",7.05,"U","S","Mr","132","0"
"133","3","female",47,"1","0",14.5,"U","S","Mrs","133","0"
"134","2","female",29,"1","0",26,"U","S","Mrs","134","1"
"135","2","male",25,"0","0",13,"U","S","Mr","135","0"
"136","2","male",23,"0","0",15.0458,"U","C","Mr","136","0"
"137","1","female",19,"0","2",26.2833,"5","S","Miss","137","1"
"138","1","male",37,"1","0",53.1,"4","S","Mr","138","0"
"139","3","male",16,"0","0",9.2167,"U","S","Mr","139","0"
"140","1","male",24,"0","0",79.2,"3","C","Mr","140","0"
"141","3","female",30.5505681605976,"0","2",15.2458,"U","C","Mrs","141","0"
"142","3","female",22,"0","0",7.75,"U","S","Miss","142","1"
"143","3","female",24,"1","0",15.85,"U","S","Mrs","143","1"
"144","3","male",19,"0","0",6.75,"U","Q","Mr","144","0"
"145","2","male",18,"0","0",11.5,"U","S","Mr","145","0"
"146","2","male",19,"1","1",36.75,"U","S","Mr","146","0"
"147","3","male",27,"0","0",7.7958,"U","S","Mr","147","1"
"148","3","female",9,"2","2",34.375,"U","S","Miss","148","0"
"149","2","male",36.5,"0","2",26,"7","S","Mr","149","0"
"150","2","male",42,"0","0",13,"U","S","Rev","150","0"
"151","2","male",51,"0","0",12.525,"U","S","Rev","151","0"
"152","1","female",22,"1","0",66.6,"4","S","Mrs","152","1"
"153","3","male",55.5,"0","0",8.05,"U","S","Mr","153","0"
"154","3","male",40.5,"0","2",14.5,"U","S","Mr","154","0"
"155","3","male",29.6714418243148,"0","0",7.3125,"U","S","Mr","155","0"
"156","1","male",51,"0","1",61.3792,"U","C","Mr","156","0"
"157","3","female",16,"0","0",7.7333,"U","Q","Miss","157","1"
"158","3","male",30,"0","0",8.05,"U","S","Mr","158","0"
"159","3","male",27.2028038084324,"0","0",8.6625,"U","S","Mr","159","0"
"160","3","male",12.4739648934399,"8","2",69.55,"U","S","Master","160","0"
"161","3","male",44,"0","1",16.1,"U","S","Mr","161","0"
"162","2","female",40,"0","0",15.75,"U","S","Mrs","162","1"
"163","3","male",26,"0","0",7.775,"U","S","Mr","163","0"
"164","3","male",17,"0","0",8.6625,"U","S","Mr","164","0"
"165","3","male",1,"4","1",39.6875,"U","S","Master","165","0"
"166","3","male",9,"0","2",20.525,"U","S","Master","166","1"
"167","1","female",42.5542579365079,"0","1",55,"6","S","Mrs","167","1"
"168","3","female",45,"1","4",27.9,"U","S","Mrs","168","0"
"169","1","male",45.8402818125366,"0","0",25.925,"U","S","Mr","169","0"
"170","3","male",28,"0","0",56.4958,"U","S","Mr","170","0"
"171","1","male",61,"0","0",33.5,"3","S","Mr","171","0"
"172","3","male",4,"4","1",29.125,"U","Q","Master","172","0"
"173","3","female",1,"1","1",11.1333,"U","S","Miss","173","1"
"174","3","male",21,"0","0",7.925,"U","S","Mr","174","0"
"175","1","male",56,"0","0",30.6958,"2","C","Mr","175","0"
"176","3","male",18,"1","1",7.8542,"U","S","Mr","176","0"
"177","3","male",5.40261630772006,"3","1",25.4667,"U","S","Master","177","0"
"178","1","female",50,"0","0",28.7125,"4","C","Miss","178","0"
"179","2","male",30,"0","0",13,"U","S","Mr","179","0"
"180","3","male",36,"0","0",0,"U","S","Mr","180","0"
"181","3","female",15.5754733410087,"8","2",69.55,"U","S","Miss","181","0"
"182","2","male",31.3944165471033,"0","0",15.05,"U","C","Mr","182","0"
"183","3","male",9,"4","2",31.3875,"U","S","Master","183","0"
"184","2","male",1,"2","1",39,"7","S","Master","184","1"
"185","3","female",4,"0","2",22.025,"U","S","Miss","185","1"
"186","1","male",39.7172708716376,"0","0",50,"2","S","Mr","186","0"
"187","3","female",31.5610295504875,"1","0",15.5,"U","Q","Mrs","187","1"
"188","1","male",45,"0","0",26.55,"U","S","Mr","188","1"
"189","3","male",40,"1","1",15.5,"U","Q","Mr","189","0"
"190","3","male",36,"0","0",7.8958,"U","S","Mr","190","0"
"191","2","female",32,"0","0",13,"U","S","Mrs","191","1"
"192","2","male",19,"0","0",13,"U","S","Mr","192","0"
"193","3","female",19,"1","0",7.8542,"U","S","Miss","193","1"
"194","2","male",3,"1","1",26,"7","S","Master","194","1"
"195","1","female",44,"0","0",27.7208,"3","C","Mrs","195","1"
"196","1","female",58,"0","0",146.5208,"3","C","Miss","196","1"
"197","3","male",35.3159549407244,"0","0",7.75,"U","Q","Mr","197","0"
"198","3","male",42,"0","1",8.4042,"U","S","Mr","198","0"
"199","3","female",24.4556390104608,"0","0",7.75,"U","Q","Miss","199","1"
"200","2","female",24,"0","0",13,"U","S","Miss","200","0"
"201","3","male",28,"0","0",9.5,"U","S","Mr","201","0"
"202","3","male",19.0211626344086,"8","2",69.55,"U","S","Mr","202","0"
"203","3","male",34,"0","0",6.4958,"U","S","Mr","203","0"
"204","3","male",45.5,"0","0",7.225,"U","C","Mr","204","0"
"205","3","male",18,"0","0",8.05,"U","S","Mr","205","1"
"206","3","female",2,"0","1",10.4625,"8","S","Miss","206","0"
"207","3","male",32,"1","0",15.85,"U","S","Mr","207","0"
"208","3","male",26,"0","0",18.7875,"U","C","Mr","208","1"
"209","3","female",16,"0","0",7.75,"U","Q","Miss","209","1"
"210","1","male",40,"0","0",31,"2","C","Mr","210","1"
"211","3","male",24,"0","0",7.05,"U","S","Mr","211","0"
"212","2","female",35,"0","0",21,"U","S","Miss","212","1"
"213","3","male",22,"0","0",7.25,"U","S","Mr","213","0"
"214","2","male",30,"0","0",13,"U","S","Mr","214","0"
"215","3","male",33.5527430895767,"1","0",7.75,"U","Q","Mr","215","0"
"216","1","female",31,"1","0",113.275,"5","C","Miss","216","1"
"217","3","female",27,"0","0",7.925,"U","S","Miss","217","1"
"218","2","male",42,"1","0",27,"U","S","Mr","218","0"
"219","1","female",32,"0","0",76.2917,"5","C","Miss","219","1"
"220","2","male",30,"0","0",10.5,"U","S","Mr","220","0"
"221","3","male",16,"0","0",8.05,"U","S","Mr","221","1"
"222","2","male",27,"0","0",13,"U","S","Mr","222","0"
"223","3","male",51,"0","0",8.05,"U","S","Mr","223","0"
"224","3","male",27.9267852258606,"0","0",7.8958,"U","S","Mr","224","0"
"225","1","male",38,"1","0",90,"4","S","Mr","225","1"
"226","3","male",22,"0","0",9.35,"U","S","Mr","226","0"
"227","2","male",19,"0","0",10.5,"U","S","Mr","227","1"
"228","3","male",20.5,"0","0",7.25,"U","S","Mr","228","0"
"229","2","male",18,"0","0",13,"U","S","Mr","229","0"
"230","3","female",5.92991820225366,"3","1",25.4667,"U","S","Miss","230","0"
"231","1","female",35,"1","0",83.475,"4","S","Mrs","231","1"
"232","3","male",29,"0","0",7.775,"U","S","Mr","232","0"
"233","2","male",59,"0","0",13.5,"U","S","Mr","233","0"
"234","3","female",5,"4","2",31.3875,"U","S","Miss","234","1"
"235","2","male",24,"0","0",10.5,"U","S","Mr","235","0"
"236","3","female",22.0860487530319,"0","0",7.55,"U","S","Miss","236","0"
"237","2","male",44,"1","0",26,"U","S","Mr","237","0"
"238","2","female",8,"0","2",26.25,"U","S","Miss","238","1"
"239","2","male",19,"0","0",10.5,"U","S","Mr","239","0"
"240","2","male",33,"0","0",12.275,"U","S","Mr","240","0"
"241","3","female",16.1892792544416,"1","0",14.4542,"U","C","Miss","241","0"
"242","3","female",19.0945803037873,"1","0",15.5,"U","Q","Miss","242","1"
"243","2","male",29,"0","0",10.5,"U","S","Mr","243","0"
"244","3","male",22,"0","0",7.125,"U","S","Mr","244","0"
"245","3","male",30,"0","0",7.225,"U","C","Mr","245","0"
"246","1","male",44,"2","0",90,"4","Q","Dr","246","0"
"247","3","female",25,"0","0",7.775,"U","S","Miss","247","0"
"248","2","female",24,"0","2",14.5,"U","S","Mrs","248","1"
"249","1","male",37,"1","1",52.5542,"5","S","Mr","249","1"
"250","2","male",54,"1","0",26,"U","S","Rev","250","0"
"251","3","male",29.6714418243148,"0","0",7.25,"U","S","Mr","251","0"
"252","3","female",29,"1","1",10.4625,"8","S","Mrs","252","0"
"253","1","male",62,"0","0",26.55,"4","S","Mr","253","0"
"254","3","male",30,"1","0",16.1,"U","S","Mr","254","0"
"255","3","female",41,"0","2",20.2125,"U","S","Mrs","255","0"
"256","3","female",29,"0","2",15.2458,"U","C","Mrs","256","1"
"257","1","female",48.7346191112809,"0","0",79.2,"U","C","Mrs","257","1"
"258","1","female",30,"0","0",86.5,"3","S","Miss","258","1"
"259","1","female",35,"0","0",512.3292,"U","C","Miss","259","1"
"260","2","female",50,"0","1",26,"U","S","Mrs","260","1"
"261","3","male",35.3159549407244,"0","0",7.75,"U","Q","Mr","261","0"
"262","3","male",3,"4","2",31.3875,"U","S","Master","262","1"
"263","1","male",52,"1","1",79.65,"6","S","Mr","263","0"
"264","1","male",40,"0","0",0,"3","S","Mr","264","0"
"265","3","female",24.4556390104608,"0","0",7.75,"U","Q","Miss","265","0"
"266","2","male",36,"0","0",10.5,"U","S","Mr","266","0"
"267","3","male",16,"4","1",39.6875,"U","S","Mr","267","0"
"268","3","male",25,"1","0",7.775,"U","S","Mr","268","1"
"269","1","female",58,"0","1",153.4625,"4","S","Mrs","269","1"
"270","1","female",35,"0","0",135.6333,"4","S","Miss","270","1"
"271","1","male",38.5030066323773,"0","0",31,"U","S","Mr","271","0"
"272","3","male",25,"0","0",0,"U","S","Mr","272","1"
"273","2","female",41,"0","1",19.5,"U","S","Mrs","273","1"
"274","1","male",37,"0","1",29.7,"4","C","Mr","274","0"
"275","3","female",24.4556390104608,"0","0",7.75,"U","Q","Miss","275","1"
"276","1","female",63,"1","0",77.9583,"5","S","Miss","276","1"
"277","3","female",45,"0","0",7.75,"U","S","Miss","277","0"
"278","2","male",36.3414814792133,"0","0",0,"U","S","Mr","278","0"
"279","3","male",7,"4","1",29.125,"U","Q","Master","279","0"
"280","3","female",35,"1","1",20.25,"U","S","Mrs","280","1"
"281","3","male",65,"0","0",7.75,"U","Q","Mr","281","0"
"282","3","male",28,"0","0",7.8542,"U","S","Mr","282","0"
"283","3","male",16,"0","0",9.5,"U","S","Mr","283","0"
"284","3","male",19,"0","0",8.05,"U","S","Mr","284","1"
"285","1","male",46.4355053532362,"0","0",26,"2","S","Mr","285","0"
"286","3","male",33,"0","0",8.6625,"U","C","Mr","286","0"
"287","3","male",30,"0","0",9.5,"U","S","Mr","287","1"
"288","3","male",22,"0","0",7.8958,"U","S","Mr","288","0"
"289","2","male",42,"0","0",13,"U","S","Mr","289","1"
"290","3","female",22,"0","0",7.75,"U","Q","Miss","290","1"
"291","1","female",26,"0","0",78.85,"U","S","Miss","291","1"
"292","1","female",19,"1","0",91.0792,"3","C","Mrs","292","1"
"293","2","male",36,"0","0",12.875,"5","C","Mr","293","0"
"294","3","female",24,"0","0",8.85,"U","S","Miss","294","0"
"295","3","male",24,"0","0",7.8958,"U","S","Mr","295","0"
"296","1","male",39.4265937570489,"0","0",27.7208,"U","C","Mr","296","0"
"297","3","male",23.5,"0","0",7.2292,"U","C","Mr","297","0"
"298","1","female",2,"1","2",151.55,"4","S","Miss","298","0"
"299","1","male",46.6712466236812,"0","0",30.5,"4","S","Mr","299","1"
"300","1","female",50,"0","1",247.5208,"3","C","Mrs","300","1"
"301","3","female",24.4556390104608,"0","0",7.75,"U","Q","Miss","301","1"
"302","3","male",29.7049871060262,"2","0",23.25,"U","Q","Mr","302","1"
"303","3","male",19,"0","0",0,"U","S","Mr","303","0"
"304","2","female",31.0762699843214,"0","0",12.35,"6","Q","Miss","304","1"
"305","3","male",28.4572031846922,"0","0",8.05,"U","S","Mr","305","0"
"306","1","male",0.92,"1","2",151.55,"4","S","Master","306","1"
"307","1","female",31.0369307454194,"0","0",110.8833,"U","C","Miss","307","1"
"308","1","female",17,"1","0",108.9,"4","C","Mrs","308","1"
"309","2","male",30,"1","0",24,"U","C","Mr","309","0"
"310","1","female",30,"0","0",56.9292,"6","C","Miss","310","1"
"311","1","female",24,"0","0",83.1583,"4","C","Miss","311","1"
"312","1","female",18,"2","2",262.375,"3","C","Miss","312","1"
"313","2","female",26,"1","1",26,"U","S","Mrs","313","0"
"314","3","male",28,"0","0",7.8958,"U","S","Mr","314","0"
"315","2","male",43,"1","1",26.25,"U","S","Mr","315","0"
"316","3","female",26,"0","0",7.8542,"U","S","Miss","316","1"
"317","2","female",24,"1","0",26,"U","S","Mrs","317","1"
"318","2","male",54,"0","0",14,"U","S","Dr","318","0"
"319","1","female",31,"0","2",164.8667,"4","S","Miss","319","1"
"320","1","female",40,"1","1",134.5,"6","C","Mrs","320","1"
"321","3","male",22,"0","0",7.25,"U","S","Mr","321","0"
"322","3","male",27,"0","0",7.8958,"U","S","Mr","322","0"
"323","2","female",30,"0","0",12.35,"U","Q","Miss","323","1"
"324","2","female",22,"1","1",29,"U","S","Mrs","324","1"
